Extraterrestrial Solar Irradiance [mW m^(-2) nm^(-1)],,,
lambda (nm),"E_S,5800K",lambda (nm),"E_S,Wehrli85"
809.00,1157.2,1542.5,275
809.81,1155.1,1547.5,274
810.62,1153.1,1552.5,273
811.43,1151.0,1557.5,272
812.24,1148.9,1562.5,269
813.05,1146.9,1567.5,263
813.86,1144.8,1572.5,260
814.67,1142.8,1577.5,259
815.47,1140.8,1582.5,255
816.28,1138.7,1587.5,252
817.09,1136.7,1592.5,246
817.90,1134.7,1597.5,246
818.71,1132.6,1602.5,247
819.52,1130.6,1607.5,242
820.33,1128.6,1612.5,244
821.14,1126.5,1617.5,243
821.95,1124.5,1622.5,240
822.76,1122.5,1627.5,244
823.57,1120.5,1632.5,241
824.37,1118.5,1637.5,237
825.18,1116.5,1642.5,234
825.99,1114.5,1647.5,235
826.80,1112.5,1652.5,234
827.61,1110.5,1657.5,234
828.42,1108.5,1662.5,233
829.23,1106.5,1667.5,229
830.04,1104.5,1672.5,228
830.84,1102.5,1677.5,220
831.65,1100.5,1682.5,221
832.46,1098.5,1687.5,219
833.27,1096.5,1692.5,219
834.08,1094.5,1697.5,214
834.89,1092.6,1702.5,217
835.70,1090.6,1707.5,212
836.50,1088.6,1712.5,203
837.31,1086.7,1717.5,212
838.12,1084.7,1722.5,205
838.93,1082.7,1727.5,196
839.74,1080.8,1732.5,190
840.55,1078.8,1737.5,189
841.35,1076.9,1742.5,191
842.16,1074.9,1747.5,185
842.97,1073.0,1752.5,187
843.78,1071.0,1757.5,189
844.59,1069.1,1762.5,184
845.40,1067.1,1767.5,182
846.20,1065.2,1772.5,177
847.01,1063.3,1777.5,173
847.82,1061.3,1782.5,171
848.63,1059.4,1787.5,170
849.44,1057.5,1792.5,169
850.24,1055.6,1797.5,173
851.05,1053.7,1802.5,169
851.86,1051.7,1807.5,168
852.67,1049.8,1812.5,160
853.48,1047.9,1817.5,160
854.28,1046.0,1822.5,159
855.09,1044.1,1827.5,156
855.90,1042.2,1832.5,156
856.71,1040.3,1837.5,150
857.51,1038.4,1842.5,153
858.32,1036.5,1847.5,151
859.13,1034.6,1852.5,148
859.94,1032.8,1857.5,145
860.74,1030.9,1862.5,143
861.55,1029.0,1867.5,143
862.36,1027.1,1872.5,135
863.17,1025.2,1877.5,135
863.97,1023.4,1882.5,140
864.78,1021.5,1887.5,138
865.59,1019.6,1892.5,137
866.40,1017.8,1897.5,138
867.20,1015.9,1902.5,133
868.01,1014.1,1907.5,136
868.82,1012.2,1912.5,138
869.63,1010.4,1917.5,136
870.43,1008.5,1922.5,134
871.24,1006.7,1927.5,132
872.05,1004.8,1932.5,132
872.85,1003.0,1937.5,131
873.66,1001.2,1942.5,129
874.47,999.3,1947.5,127
875.28,997.5,1952.5,126
876.08,995.7,1957.5,122
876.89,993.9,1962.5,126
877.70,992.0,1967.5,125
878.50,990.2,1972.5,125
879.31,988.4,1977.5,129
880.12,986.6,1982.5,125
880.92,984.8,1987.5,123
881.73,983.0,1992.5,121
882.54,981.2,1997.5,123
883.34,979.4,2002.5,116
884.15,977.6,2012.5,114
884.96,975.8,2022.5,113
885.76,974.0,2032.5,110
886.57,972.2,2042.5,107
887.38,970.4,2052.5,104
888.18,968.7,2062.5,100
888.99,966.9,2077.5,101
889.80,965.1,2092.5,98
890.60,963.3,2107.5,93
891.41,961.6,2122.5,87
892.22,959.8,2137.5,85
893.02,958.0,2152.5,81
893.83,956.3,2167.5,80
894.64,954.5,2182.5,75
895.44,952.8,2197.5,73
896.25,951.0,2212.5,75
897.05,949.3,2227.5,75
897.86,947.5,2247.5,72
898.67,945.8,2262.5,71
899.47,944.0,2282.5,69
900.28,942.3,2302.5,66
901.09,940.6,2322.5,53
901.89,938.8,2342.5,58
902.70,937.1,2362.5,65
903.50,935.4,2382.5,55
904.31,933.7,2402.5,54
905.12,931.9,2422.5,57
